0.12,0.12,4.72,3687936.00,1.00,1.00,2.42,460992.00,0.12,0.12,4.72,3687936.00,0.67,0.66,2.58,691488.00,0.12,0.12,4.72,3687936.00,0.40,0.40,2.91,1152480.00,0.40,0.40,2.91,1152480.00,1.00,1.00,2.42,460992.00,0.12,0.12,4.72,3687936.00
1.00,1.00,3.84,50176.00,0.06,0.06,18.84,802816.00,0.06,0.06,18.84,802816.00,0.25,0.25,6.84,200704.00,0.25,0.25,6.84,200704.00,0.06,0.06,18.84,802816.00,0.25,0.25,6.84,200704.00,0.06,0.06,18.84,802816.00,0.06,0.06,18.84,802816.00
0.12,0.12,3.28,3612672.00,0.02,0.02,13.37,28901376.00,0.06,0.06,4.72,7225344.00,0.06,0.06,4.72,7225344.00,0.25,0.25,2.56,1806336.00,0.12,0.12,3.28,3612672.00,0.07,0.07,4.37,6322176.00,0.02,0.02,13.37,28901376.00,0.06,0.06,4.72,7225344.00
0.25,0.25,4.73,802816.00,0.01,0.01,66.73,25690112.00,0.06,0.06,10.73,3211264.00,0.03,0.03,18.73,6422528.00,0.25,0.25,4.73,802816.00,0.06,0.06,10.73,3211264.00,0.06,0.06,10.73,3211264.00,0.01,0.01,66.73,25690112.00,0.06,0.06,10.73,3211264.00
1.00,1.00,2.35,802816.00,0.06,0.06,6.56,12845056.00,0.06,0.06,6.56,12845056.00,0.25,0.25,3.19,3211264.00,0.25,0.25,3.19,3211264.00,0.06,0.06,6.56,12845056.00,0.25,0.25,3.19,3211264.00,0.06,0.06,6.56,12845056.00,0.06,0.06,6.56,12845056.00
0.50,0.50,3.97,401408.00,0.02,0.02,65.97,12845056.00,0.02,0.02,65.97,12845056.00,0.06,0.06,17.97,3211264.00,0.06,0.06,17.97,3211264.00,0.02,0.02,65.97,12845056.00,0.06,0.06,17.97,3211264.00,0.02,0.02,65.97,12845056.00,0.02,0.02,65.97,12845056.00
0.12,0.12,3.28,3612672.00,0.02,0.02,13.37,28901376.00,0.06,0.06,4.72,7225344.00,0.06,0.06,4.72,7225344.00,0.25,0.25,2.56,1806336.00,0.12,0.12,3.28,3612672.00,0.07,0.07,4.37,6322176.00,0.02,0.02,13.37,28901376.00,0.06,0.06,4.72,7225344.00
0.25,0.25,4.73,802816.00,0.01,0.01,66.73,25690112.00,0.06,0.06,10.73,3211264.00,0.03,0.03,18.73,6422528.00,0.25,0.25,4.73,802816.00,0.06,0.06,10.73,3211264.00,0.06,0.06,10.73,3211264.00,0.01,0.01,66.73,25690112.00,0.06,0.06,10.73,3211264.00
0.50,0.50,3.97,401408.00,0.02,0.02,65.97,12845056.00,0.02,0.02,65.97,12845056.00,0.06,0.06,17.97,3211264.00,0.06,0.06,17.97,3211264.00,0.02,0.02,65.97,12845056.00,0.06,0.06,17.97,3211264.00,0.02,0.02,65.97,12845056.00,0.02,0.02,65.97,12845056.00
0.12,0.12,3.28,3612672.00,0.02,0.02,13.37,28901376.00,0.06,0.06,4.72,7225344.00,0.06,0.06,4.72,7225344.00,0.25,0.25,2.56,1806336.00,0.12,0.12,3.28,3612672.00,0.07,0.07,4.37,6322176.00,0.02,0.02,13.37,28901376.00,0.06,0.06,4.72,7225344.00
