operation_name,category,operation,M,K,N,Sharding_Strategy,num_devices,Latency_us,Latency_ms
matmul_FHE_Bootstrapping_BConv_M65536_K48_N144_shard_MN,FHE,Bootstrapping BConv,65536,48,144,shard_MN,8,29.815078,0.029815078
matmul_FHE_Bootstrapping_BConv_M65536_K52_N124_shard_M,FHE,Bootstrapping BConv,65536,52,124,shard_M,8,7.767422,0.0077674219999999995
matmul_FHE_Bootstrapping_BConv_M65536_K52_N124_shard_MN,FHE,Bootstrapping BConv,65536,52,124,shard_MN,8,29.228672,0.029228672
matmul_FHE_Bootstrapping_BConv_M65536_K52_N120_shard_M,FHE,Bootstrapping BConv,65536,52,120,shard_M,8,7.498594,0.007498594
matmul_FHE_Bootstrapping_BConv_M65536_K52_N120_shard_N,FHE,Bootstrapping BConv,65536,52,120,shard_N,8,16.78375,0.01678375
matmul_FHE_Bootstrapping_BConv_M65536_K52_N120_shard_MN,FHE,Bootstrapping BConv,65536,52,120,shard_MN,8,11.2575,0.0112575
matmul_FHE_Bootstrapping_BConv_M65536_K52_N152_shard_M,FHE,Bootstrapping BConv,65536,52,152,shard_M,8,61.533906,0.061533906
matmul_FHE_Bootstrapping_BConv_M65536_K52_N152_shard_N,FHE,Bootstrapping BConv,65536,52,152,shard_N,8,117.238828,0.117238828
matmul_FHE_Bootstrapping_BConv_M65536_K52_N152_shard_MN,FHE,Bootstrapping BConv,65536,52,152,shard_MN,8,77.05125,0.07705125
matmul_FHE_Bootstrapping_BConv_M65536_K52_N128_shard_M,FHE,Bootstrapping BConv,65536,52,128,shard_M,8,45.75375,0.045753749999999996
matmul_FHE_Bootstrapping_BConv_M65536_K52_N128_shard_N,FHE,Bootstrapping BConv,65536,52,128,shard_N,8,67.518906,0.067518906
matmul_FHE_Bootstrapping_BConv_M65536_K52_N128_shard_MN,FHE,Bootstrapping BConv,65536,52,128,shard_MN,8,34.551328,0.034551328
matmul_FHE_Bootstrapping_BConv_M65536_K52_N160_shard_M,FHE,Bootstrapping BConv,65536,52,160,shard_M,8,20.011328,0.020011328
matmul_FHE_Bootstrapping_BConv_M65536_K52_N160_shard_N,FHE,Bootstrapping BConv,65536,52,160,shard_N,8,62.39125,0.06239125
matmul_FHE_Bootstrapping_BConv_M65536_K52_N160_shard_MN,FHE,Bootstrapping BConv,65536,52,160,shard_MN,8,19.582578,0.019582578000000003
matmul_FHE_Bootstrapping_BConv_M65536_K52_N156_shard_M,FHE,Bootstrapping BConv,65536,52,156,shard_M,8,100.695156,0.100695156
matmul_FHE_Bootstrapping_BConv_M65536_K52_N156_shard_MN,FHE,Bootstrapping BConv,65536,52,156,shard_MN,8,51.215078,0.051215078
matmul_FHE_Bootstrapping_BConv_M65536_K56_N136_shard_M,FHE,Bootstrapping BConv,65536,56,136,shard_M,8,48.018828,0.048018828
matmul_FHE_Bootstrapping_BConv_M65536_K56_N136_shard_N,FHE,Bootstrapping BConv,65536,56,136,shard_N,8,98.636406,0.098636406
matmul_FHE_Bootstrapping_BConv_M65536_K56_N136_shard_MN,FHE,Bootstrapping BConv,65536,56,136,shard_MN,8,128.8675,0.1288675
matmul_FHE_Bootstrapping_BConv_M65536_K56_N132_shard_M,FHE,Bootstrapping BConv,65536,56,132,shard_M,8,110.23875,0.11023875
matmul_FHE_Bootstrapping_BConv_M65536_K56_N132_shard_MN,FHE,Bootstrapping BConv,65536,56,132,shard_MN,8,117.00375,0.11700374999999999
matmul_FHE_Bootstrapping_BConv_M65536_K60_N144_shard_M,FHE,Bootstrapping BConv,65536,60,144,shard_M,8,52.448594,0.052448594
matmul_FHE_Bootstrapping_BConv_M65536_K60_N144_shard_N,FHE,Bootstrapping BConv,65536,60,144,shard_N,8,41.05125,0.041051250000000004
matmul_FHE_Bootstrapping_BConv_M65536_K60_N144_shard_MN,FHE,Bootstrapping BConv,65536,60,144,shard_MN,8,108.31625,0.10831625
matmul_FHE_Bootstrapping_BConv_M65536_K56_N140_shard_M,FHE,Bootstrapping BConv,65536,56,140,shard_M,8,71.47125,0.07147125
matmul_FHE_Bootstrapping_BConv_M65536_K56_N140_shard_MN,FHE,Bootstrapping BConv,65536,56,140,shard_MN,8,87.193828,0.087193828
matmul_FHE_Bootstrapping_BConv_M65536_K60_N152_shard_M,FHE,Bootstrapping BConv,65536,60,152,shard_M,8,89.98875,0.08998874999999999
matmul_FHE_Bootstrapping_BConv_M65536_K60_N152_shard_N,FHE,Bootstrapping BConv,65536,60,152,shard_N,8,91.277578,0.09127757800000001
