Category,Subcategory,M,K,N,FLOPs,Naive_Mean_ms,Naive_Min_ms,Naive_Max_ms,Naive_Std_ms,Naive_TFLOPS,Tiled_Mean_ms,Tiled_Min_ms,Tiled_Max_ms,Tiled_Std_ms,Tiled_TFLOPS,Optimized_Mean_ms,Optimized_Min_ms,Optimized_Max_ms,Optimized_Std_ms,Optimized_TFLOPS,Vectorized_Mean_ms,Vectorized_Min_ms,Vectorized_Max_ms,Vectorized_Std_ms,Vectorized_TFLOPS,Best_Kernel,Best_Mean_ms,Best_TFLOPS
FHE,Bootstrapping BConv,65536,52,128,872415232,0.1379,0.1373,0.1393,0.0008,6.3264,0.1262,0.1250,0.1270,0.0008,6.9102,0.0891,0.0889,0.0894,0.0002,9.7877,0.0939,0.0937,0.0941,0.0001,9.2876,Optimized,0.0891,9.7877
FHE,Bootstrapping BConv,65536,52,160,1090519040,0.1721,0.1720,0.1722,0.0001,6.3371,0.1572,0.1564,0.1578,0.0005,6.9387,0.1088,0.1086,0.1090,0.0002,10.0225,0.1119,0.1116,0.1120,0.0002,9.7477,Optimized,0.1088,10.0225
FHE,Bootstrapping BConv,65536,52,156,1063256064,0.1721,0.1720,0.1723,0.0001,6.1793,0.1583,0.1579,0.1588,0.0003,6.7171,0.1120,0.1117,0.1124,0.0003,9.4901,0.1130,0.1126,0.1132,0.0002,9.4129,Optimized,0.1120,9.4901
FHE,Bootstrapping BConv,65536,56,136,998244352,0.1823,0.1822,0.1825,0.0001,5.4755,0.1577,0.1577,0.1578,0.0000,6.3297,0.1064,0.1061,0.1067,0.0002,9.3842,0.1055,0.1052,0.1057,0.0002,9.4626,Vectorized,0.1055,9.4626
FHE,Bootstrapping BConv,65536,56,132,968884224,0.1824,0.1822,0.1826,0.0001,5.3129,0.1578,0.1577,0.1578,0.0000,6.1416,0.1044,0.1038,0.1048,0.0004,9.2763,0.1032,0.1030,0.1034,0.0001,9.3908,Vectorized,0.1032,9.3908
FHE,Bootstrapping BConv,65536,60,144,1132462080,0.1954,0.1946,0.1969,0.0010,5.7944,0.1578,0.1577,0.1578,0.0000,7.1786,0.1088,0.1084,0.1092,0.0003,10.4042,0.1049,0.1047,0.1052,0.0002,10.7934,Vectorized,0.1049,10.7934
FHE,Bootstrapping BConv,65536,56,140,1027604480,0.1827,0.1824,0.1833,0.0004,5.6245,0.1566,0.1564,0.1568,0.0001,6.5631,0.1063,0.1058,0.1068,0.0003,9.6685,0.1065,0.1064,0.1068,0.0001,9.6475,Optimized,0.1063,9.6685
FHE,Bootstrapping BConv,65536,60,152,1195376640,0.1952,0.1946,0.1964,0.0007,6.1230,0.1576,0.1564,0.1581,0.0006,7.5836,0.1134,0.1130,0.1138,0.0003,10.5374,0.1103,0.1101,0.1106,0.0002,10.8343,Vectorized,0.1103,10.8343
FHE,Bootstrapping BConv,65536,60,148,1163919360,0.1954,0.1946,0.1966,0.0008,5.9573,0.1584,0.1576,0.1587,0.0004,7.3501,0.1123,0.1118,0.1131,0.0004,10.3632,0.1091,0.1088,0.1094,0.0002,10.6643,Vectorized,0.1091,10.6643
FHE,Bootstrapping BConv,65536,28,84,308281344,0.0635,0.0635,0.0636,0.0000,4.8537,0.0533,0.0533,0.0533,0.0000,5.7870,0.0533,0.0532,0.0534,0.0001,5.7830,0.0573,0.0573,0.0574,0.0000,5.3766,Tiled,0.0533,5.7870
